0.012812792204679;	0.010450154172594;	0.010559394724583;	0.010548991705395;	0.010551293964246;	0.010548211279937;	0.010540474970317;	0.010535557838512;	0.012024634046416;	0.013600490984496;	0.011902760194293;	0.011666620176229;	0.011731902073137;	0.010482476320801;	0.010471514236561;	0.010477159178216;	0.010475035633302;	0.010473880830541;	0.010474875027358;	0.010473331420146;	0.010467250500219;	0.011288609453003;	0.011287438678682;	0.011286900660884;	0.011281531351511;	0.011276547673437;	0.011275681499049;	0.011274482800171;	0.011274515636890;	0.011273802762718;	0.011272621547347;	0.011267805611982;	0.011264913754888;	0.011264765734410;	0.011263005262526;	0.011262304898382;	0.011261320243766;	0.011254622686384;	0.011246206506368;	0.011239420372844;	0.011234087827012;	0.011230222840433;	0.011225113845074;	0.011223101145591;	0.011218389388274;	0.011213368747680;	0.011211458460057;	0.011204019842020;	0.011196016538414;	0.011185177347969;	0.011169038829648;	0.011158834571272;	0.011151404881688;	0.011142898837382;	0.011131121411246;	0.011119119246554;	0.011106365287892;	0.011092259516762;	0.011076178943641;	0.011058708372685;	0.011041970817495;	0.011024382947082;	0.011006171405552;	0.010984828669836;	0.010961015660824;	0.010922118473787;	0.010886214732373;	0.010862728961418;	0.010827324597086;	0.010787512774270;	0.010745858188025;	0.010702425821972;	0.010657988806852;	0.010615693968660;	0.010571625623959;	0.010521198465353;	0.010468224709022;	0.010410539010818;	0.010345407053161;	0.010276630557876;	0.010203193229447;	0.010124011619684;	0.010039691646393;	0.009948764613710;	0.009850456807216;	0.009739504713417;	0.009619822263314;	0.009497883484838;	0.009362778720116;	0.009212073734522;	0.009054407440177;	0.008887131449081;	0.008700877601978;	0.008503116924746;	0.008283490267045;	0.008063441975851;	0.007841701348342;	0.007603646355144;	0.005968480154479;	0.005800985967856
0.013856221783815;	0.011434447252896;	0.011600713759910;	0.011628156632938;	0.011663257061961;	0.011691154938375;	0.011713973559507;	0.011737551935818;	0.013251632616190;	0.014851550597920;	0.013177508351568;	0.012960779256312;	0.013045440291076;	0.011815721757088;	0.011822259847606;	0.011844911466615;	0.011858427885840;	0.011872743969517;	0.011888573272332;	0.011901244007316;	0.011909233381729;	0.011699947610917;	0.011704251062595;	0.011708928036964;	0.011708511912199;	0.011708813100804;	0.011713364032156;	0.011717866892406;	0.011723800005285;	0.011728931632655;	0.011733776388199;	0.011734592151946;	0.011737515424894;	0.011743715698743;	0.011748413951248;	0.011754554210487;	0.011760664468513;	0.011761603119551;	0.011760443137412;	0.011760452867151;	0.011762789693250;	0.011767149448348;	0.011770413488169;	0.011777329757152;	0.011781661616472;	0.011786077987157;	0.011794196040291;	0.011796186956756;	0.011797829001960;	0.011797903489306;	0.011792754907467;	0.011793816323479;	0.011798401357481;	0.011802220101329;	0.011802892547138;	0.011803868210759;	0.011804089256913;	0.011802797793533;	0.011799826185935;	0.011795720350514;	0.011792568230067;	0.011788464474925;	0.011783438035777;	0.011774450043536;	0.011761803455878;	0.011729412585310;	0.011699597705145;	0.011682107303563;	0.011651688313642;	0.011616368665156;	0.011580219763301;	0.011542920331997;	0.011504447084129;	0.011467729590099;	0.011428883131356;	0.011383422179803;	0.011335297865824;	0.011282045527838;	0.011220485034703;	0.011155023172990;	0.011084788904783;	0.011008274729603;	0.010926228941250;	0.010836515266940;	0.010738544928121;	0.010627496648238;	0.010506764443528;	0.010383338286062;	0.010245826295033;	0.010090608967429;	0.009927528326588;	0.009754142148191;	0.009558778788167;	0.009351271211118;	0.009123683519967;	0.008892780977471;	0.008657390257353;	0.008404194917050;	0.006609766303607;	0.011897643603164
0.014781205836013;	0.012215311449441;	0.012387013696561;	0.012403963788631;	0.012426554394163;	0.012443570385013;	0.012456861053206;	0.012470993563712;	0.013974962777315;	0.015566093232275;	0.013884207810141;	0.013658342621651;	0.013734974539032;	0.012498441615974;	0.012497877556234;	0.012514070928109;	0.012521216417218;	0.012529690677316;	0.012539917046144;	0.012547118730187;	0.012549894941556;	0.012554527933170;	0.012561175257063;	0.012567408568996;	0.012567805042565;	0.012569312314774;	0.012574994887162;	0.012580872751088;	0.012588182882118;	0.012594184184195;	0.012599818797289;	0.012600245784992;	0.012602652959031;	0.012608817256638;	0.012613148191796;	0.012619033708016;	0.012624762123819;	0.012625591025092;	0.012623025006674;	0.012620199980331;	0.012620438910376;	0.012622893760153;	0.012623729530401;	0.012628273550430;	0.012629585631093;	0.012630735424259;	0.012635561293082;	0.012632496983209;	0.012628506987483;	0.012623815040059;	0.012613056650185;	0.012607929116633;	0.012606340234037;	0.012603433064928;	0.012596623966976;	0.012589891536762;	0.012581686391940;	0.012571122867608;	0.012558645871190;	0.012544901486001;	0.012532134092991;	0.012518384543061;	0.012503858033237;	0.012485513023899;	0.012463985274732;	0.012427012961651;	0.012393113988765;	0.012371386146546;	0.012335828216019;	0.012294938595823;	0.012254031875129;	0.012212451329634;	0.012169537897066;	0.012128069826000;	0.012084210619516;	0.012033574396974;	0.011980237324572;	0.011921532719404;	0.011853993646590;	0.011782474124165;	0.011706075189626;	0.011622871202642;	0.011533953250353;	0.011436713132016;	0.011330715250660;	0.011211494560541;	0.011082058930732;	0.010949751003779;	0.010802883024090;	0.010637118855294;	0.010463089692876;	0.010278497504360;	0.010070309758720;	0.009849819456568;	0.009610506789961;	0.009366421239870;	0.009116509261980;	0.008848242691142;	0.006960267997278;	0.016988327650017
0.015663539901290;	0.013019742096012;	0.013205988420994;	0.013222192300188;	0.013242262492298;	0.013258165321006;	0.013271703064848;	0.013286006754028;	0.014789257950413;	0.016380514217738;	0.014699428634124;	0.014472446516907;	0.014548824116776;	0.014749865999998;	0.013312330757133;	0.013328745676225;	0.013335805868111;	0.013344493950622;	0.013354907279767;	0.013362205831258;	0.013365199965085;	0.013369672812253;	0.013376476191414;	0.013382267847046;	0.013381678917668;	0.013382725305282;	0.013388020043425;	0.013393890333533;	0.013401344016623;	0.013407168097492;	0.013412716420557;	0.013412118366650;	0.013413559234270;	0.013419391742744;	0.013423276797509;	0.013429030544685;	0.013434728772538;	0.013436018638953;	0.013432946775535;	0.013428538699514;	0.013428169752139;	0.013430493048919;	0.013431021729310;	0.013435650901283;	0.013436789714630;	0.013437905917814;	0.013443071679600;	0.013439069712689;	0.013434013381972;	0.013429538421485;	0.013418647055300;	0.013413303952763;	0.013412015425805;	0.013409370393592;	0.013402576479259;	0.013396131872935;	0.013387932471648;	0.013376940032344;	0.013364185805865;	0.013350350118320;	0.013337742783094;	0.013324200704014;	0.013309916700819;	0.013291560419453;	0.013269752094280;	0.013232159901025;	0.013197642476032;	0.013175120967147;	0.013137699885915;	0.013094399798365;	0.013051982011724;	0.013009387719170;	0.012965185927354;	0.012921947963286;	0.012875865889772;	0.012822643643542;	0.012766478549000;	0.012704425006227;	0.012631303394899;	0.012553846058249;	0.012471505350747;	0.013203211441035;	0.015454176190188;	0.017594202628085;	0.019029597947173;	0.019833711307678;	0.020483809999229;	0.021011067614879;	0.021407080947187;	0.021681871257103;	0.021870017586200;	0.021980287104561;	0.022005717638051;	0.021975096304590;	0.021855005248471;	0.021692052641990;	0.021495731262188;	0.021221692089574;	0.016952913290509;	0.021429652638204
0.016565159510095;	0.013825125432886;	0.014026883112780;	0.014042544075601;	0.014059944657686;	0.014074395752431;	0.014087903278889;	0.014102244343954;	0.015604611456469;	0.017195813015666;	0.015515363148139;	0.015287170916932;	0.015363238412974;	0.015564912702091;	0.014127263359838;	0.014143889629183;	0.014150891798486;	0.014159855680846;	0.014170543270087;	0.014178049392774;	0.014181391964355;	0.014185883005218;	0.014193584229407;	0.014199657857455;	0.014198784520181;	0.014200054567040;	0.014205626877186;	0.014212133421025;	0.014220353079440;	0.014226593655136;	0.014232623158636;	0.014231526554772;	0.014232493810284;	0.014238453830110;	0.014242313528531;	0.014248313247853;	0.014254311311954;	0.014256345155853;	0.014252980010552;	0.014247124536631;	0.014246226009266;	0.014248427925065;	0.014248577885293;	0.014253139014777;	0.014253855213877;	0.014254591731374;	0.014259657023045;	0.014254156721447;	0.014247355700759;	0.014242310328269;	0.014230365416615;	0.014223749418149;	0.014941852353474;	0.017511709997726;	0.019997402073194;	0.021847845397587;	0.023019419053589;	0.024041738559566;	0.024938860534884;	0.025729308799815;	0.026435601387733;	0.027072397396437;	0.027658476854615;	0.028205847704880;	0.028734866070806;	0.029222371886501;	0.029707076107672;	0.030207690893103;	0.030652683242956;	0.031061107333059;	0.031438758182019;	0.031790657923468;	0.032124702653716;	0.032454092850862;	0.032764680364198;	0.033042121728356;	0.033297391911573;	0.033527522114148;	0.033720984793406;	0.033889939666650;	0.034036170816151;	0.034153575233473;	0.034235409377350;	0.034283340287080;	0.034295035550000;	0.034244721262290;	0.034152144539614;	0.034041670662992;	0.033869899408483;	0.033630722700373;	0.033352061076127;	0.033022867321426;	0.032613285499730;	0.032142996532013;	0.031549663104400;	0.030958533693298;	0.030361660718478;	0.029688954608583;	0.023505212599868;	0.025959451924757
0.017475073752839;	0.014630739029504;	0.014848817568887;	0.014864264008126;	0.014879076790233;	0.015069707047464;	0.014905694393152;	0.014920194713727;	0.016421788827234;	0.018013074592707;	0.016333475154905;	0.016104293531931;	0.016180241117191;	0.016382723540484;	0.016444641750216;	0.014962158698669;	0.014969278144276;	0.016260422458585;	0.019543226421210;	0.022249272058166;	0.023810801131393;	0.025055769506159;	0.026115508513527;	0.027030308643049;	0.027817125561826;	0.028520064904785;	0.029175855177427;	0.029796227293096;	0.030410401939802;	0.031025645406397;	0.031616602799881;	0.032170783573011;	0.032709135262103;	0.033233118919803;	0.033732434041178;	0.034219420871658;	0.034689837961512;	0.035125207066744;	0.035544666350957;	0.035963625974360;	0.036376122325693;	0.036784285096306;	0.037181883346670;	0.037584297203693;	0.037972479508613;	0.038356023932249;	0.038742138110017;	0.039102145345648;	0.039456218118262;	0.039786978280861;	0.040091019877790;	0.040416455459938;	0.040746752088907;	0.041069444113458;	0.041376232265149;	0.041677136227173;	0.041972434408502;	0.042259515147176;	0.042535052212625;	0.042801209755083;	0.043066600680655;	0.043326202796348;	0.043580950029906;	0.043821014180144;	0.044049522536054;	0.044199717726899;	0.044360433835373;	0.044580463841712;	0.044746193097117;	0.044886739532697;	0.045004645990455;	0.045104811061316;	0.045199542059692;	0.045306762138550;	0.045403341499491;	0.045467320606134;	0.045512734566095;	0.045535273688610;	0.045518856376489;	0.045477567212693;	0.045414182875866;	0.045319744165538;	0.045193098208309;	0.045036041325301;	0.044841335703199;	0.044573872690043;	0.044261397094929;	0.043935693340916;	0.043539793481407;	0.043067193666835;	0.042553291945973;	0.041983242217110;	0.041320964447153;	0.040590393798755;	0.039709264537169;	0.038842562256640;	0.037980406642800;	0.037030456085718;	0.029226309355890;	0.030381067737241
0.082999302411622;	0.035271772142386;	0.035985529227587;	0.036402358325341;	0.036948991386730;	0.037709084670843;	0.038503143661984;	0.038724508110806;	0.040814237094770;	0.042985333887848;	0.041862659963635;	0.042164008787533;	0.042791089730807;	0.043482222089822;	0.044003446272184;	0.044570187688384;	0.043469556068723;	0.043908729050126;	0.044345092191962;	0.044754166543451;	0.045125619715010;	0.045499226904768;	0.045866678653125;	0.046230293150623;	0.046563090759914;	0.046885734668738;	0.047220788367830;	0.047539667681054;	0.047856556561878;	0.048164928182336;	0.048464169778248;	0.048745716865853;	0.049034422444323;	0.049325429726462;	0.049603487763735;	0.049884213144956;	0.050158308859120;	0.050394818513099;	0.050626496568398;	0.050873509446916;	0.051119035238629;	0.051366660768700;	0.051607269371269;	0.051859866297721;	0.052097766282666;	0.052332134915796;	0.052579918737380;	0.052805941125585;	0.053031126351294;	0.053227839425101;	0.053394668997840;	0.053597375930819;	0.053810861441342;	0.054018272024060;	0.054209146334784;	0.054396028054511;	0.054579729456359;	0.054756261333545;	0.054920323653426;	0.055074615550552;	0.055230259686248;	0.055380878046215;	0.055527588604934;	0.055657927792129;	0.055776031176509;	0.055797363688438;	0.055835364456092;	0.055952567507130;	0.056003817567362;	0.056031553374903;	0.056038591453375;	0.056025755370316;	0.056009663188325;	0.056012961850235;	0.056006028629364;	0.055961328033836;	0.055896129105324;	0.055805611890685;	0.055672835236268;	0.055511901810520;	0.055326730772809;	0.055144212461359;	0.054927918213414;	0.054658725744375;	0.054340295771667;	0.053932347231260;	0.053470850527603;	0.052995306758887;	0.052437522219238;	0.051791308707417;	0.051098856073217;	0.050336103654609;	0.049465065058139;	0.048514933125899;	0.047386279752758;	0.046280233389519;	0.045183926398286;	0.043991231418066;	0.034677103274766;	0.034759837273912
0.101159972534420;	0.052089500422457;	0.052835271677586;	0.053035286843452;	0.053372183876447;	0.053901559346291;	0.054452524123851;	0.054630737163567;	0.056285140489784;	0.058228505691760;	0.056892804618857;	0.056993298775391;	0.057454600008562;	0.057968742174947;	0.058321386045314;	0.058757215283998;	0.059150390853659;	0.057834438703250;	0.058154987006577;	0.058449212506432;	0.058701816339012;	0.058968404604305;	0.059235037443939;	0.059504271619087;	0.059739946464821;	0.059966544833633;	0.060214236901043;	0.060450923427277;	0.060691103146122;	0.060925333858293;	0.061151339008779;	0.061360124582785;	0.061581599445210;	0.061807720568274;	0.062020174665173;	0.062238264777872;	0.062449802002780;	0.062614932953245;	0.062777514953795;	0.062962618466702;	0.063146094968709;	0.063333189300669;	0.063513127283120;	0.063708477537494;	0.063886302172571;	0.064060534285308;	0.064251721245967;	0.064418115220772;	0.064584683681870;	0.064752127812978;	0.064893163168429;	0.065061514727317;	0.065235843144968;	0.065400396686144;	0.065543292231314;	0.065680197953785;	0.065814559895259;	0.065944790573264;	0.066060993389111;	0.066165851930600;	0.066272636619735;	0.066373862156934;	0.066470896784473;	0.066548987440325;	0.066613221164575;	0.066561937660877;	0.066531704953829;	0.066597572414981;	0.066586062838485;	0.066547344439240;	0.066483622728010;	0.066396713439403;	0.066307340817064;	0.066242407297766;	0.066166527185465;	0.066047297122095;	0.065905025110268;	0.065734248370456;	0.065514569739447;	0.065262811813939;	0.064984124996261;	0.064665462020496;	0.064304119421305;	0.063904828205938;	0.063450050355655;	0.062893002911753;	0.062278142482852;	0.061650631138760;	0.060930033857094;	0.060108997715538;	0.059236727291076;	0.058293727369760;	0.057230213265520;	0.056077892347685;	0.054720768981713;	0.053394153150198;	0.052082455667134;	0.050663683379605;	0.039901608660673;	0.039105922086685
0.115521802765062;	0.065076984598486;	0.065908098344473;	0.066023806649209;	0.066289677990751;	0.066735287341059;	0.067192042561650;	0.067272973629866;	0.069016387112872;	0.070681465696756;	0.069253900362690;	0.069262280761621;	0.069656706377045;	0.070092981323703;	0.070385742229862;	0.070828528372023;	0.071199551376735;	0.071474429729926;	0.071872785149328;	0.070401462084098;	0.070611018407132;	0.070841363836761;	0.071074941172416;	0.071314435351354;	0.071515604166480;	0.071706737306403;	0.071924626417891;	0.072129873451505;	0.072340296804830;	0.072544949949137;	0.072740391625425;	0.072916906667416;	0.073109402964298;	0.073307303712031;	0.073489495016456;	0.073678870158319;	0.073860710172990;	0.073987392670190;	0.074112594236965;	0.074265753892419;	0.074416567451537;	0.074571656307598;	0.074718805851422;	0.074885318494830;	0.075034097312838;	0.075178954683498;	0.075343966957645;	0.075481062708663;	0.075618883310354;	0.075714202934510;	0.075768377833222;	0.075876473676153;	0.076000664814171;	0.076117579243262;	0.076212627204406;	0.076303012772464;	0.076392148077004;	0.076477259909408;	0.076545938467166;	0.076601998071419;	0.076661042669076;	0.076714450446031;	0.076763734912716;	0.076791879709275;	0.076804735752418;	0.076684906554799;	0.076590267885300;	0.076607530081758;	0.076536370413231;	0.076434439085460;	0.076303558526810;	0.076145734672627;	0.075985936479380;	0.075855167155668;	0.075712538992453;	0.075520937770161;	0.075303547727561;	0.075053614288833;	0.074747896409885;	0.074406193640095;	0.074034632173678;	0.073618753644431;	0.073156188324277;	0.072651621264006;	0.072092512186338;	0.071420516566072;	0.070683340676327;	0.069932504106866;	0.069076640206929;	0.068107934339831;	0.067082098391441;	0.065977989028022;	0.064739308467959;	0.063401407190578;	0.061832248746137;	0.060300373856828;	0.058787729259314;	0.057156579262673;	0.044991079352492;	0.043794084958711
0.128851748824578;	0.077003025909263;	0.077928314195232;	0.077993909543171;	0.078226690596485;	0.078624029133876;	0.079021670702470;	0.079058024180942;	0.080750847314261;	0.082565734643469;	0.081096639528852;	0.080851824405386;	0.081216438006280;	0.081609722560418;	0.081841533192844;	0.082205132018936;	0.082510287081293;	0.082732839130099;	0.083089255706336;	0.083371492944707;	0.081740158308680;	0.081931435353992;	0.082127735079049;	0.082333381842986;	0.082497173384075;	0.082650867257197;	0.082837350101048;	0.083010575538595;	0.083191091412650;	0.083366443375785;	0.083531906610972;	0.083679180950164;	0.083846561523775;	0.084020253909497;	0.084176706474565;	0.084342071698314;	0.084499290136410;	0.084593413006929;	0.084687165803956;	0.084814105263764;	0.084938216980215;	0.085067396522122;	0.085187999288619;	0.085330842501028;	0.085453643868145;	0.085572161793458;	0.085713799582229;	0.085824436084184;	0.085936252106464;	0.085999137398289;	0.086015509841735;	0.086093780833642;	0.086190386102520;	0.086278948164816;	0.086342997198646;	0.086401922462614;	0.086459848794033;	0.086513691077473;	0.086549033962547;	0.086570281855014;	0.086595136885516;	0.086613956663299;	0.086628477064996;	0.086619568749036;	0.086593816333520;	0.086418184082300;	0.086271640561154;	0.086252279225693;	0.086133947350524;	0.085981655809139;	0.085796945352925;	0.085577128331682;	0.085355254232247;	0.085166666394500;	0.084965151902262;	0.084709017225349;	0.084424237594691;	0.084104428081443;	0.083725245379771;	0.083306003355889;	0.082853987611033;	0.082352890421873;	0.081800030111701;	0.081201182977549;	0.080542954544365;	0.079759318091814;	0.078904011908305;	0.078034450416913;	0.077048615202615;	0.075938135966649;	0.074765026810635;	0.073506009289312;	0.072098609223106;	0.070581840919496;	0.068807907453780;	0.067077822039719;	0.065371136824309;	0.063534539066524;	0.049992996949809;	0.049295435300161
